w,all_sample,one_sample1,one_sample2,50_sample,100_sampe
5.442,427.825832703,442.677785725,584.978563309,411.721887148,401.128050083
5.444,427.892718293,442.504729603,585.060526489,411.79891981,401.215483484
5.446,427.959898429,442.332053415,585.142664953,411.87622995,401.303208217
5.448,428.027373112,442.159757161,585.224978701,411.953817568,401.391224281
5.45,428.095142341,441.987840841,585.307467732,412.031682663,401.479531677
5.452,428.163206117,441.816304456,585.390132048,412.109825236,401.568130404
5.454,428.23156444,441.645148004,585.472971647,412.188245286,401.657020462
5.456,428.300217309,441.474371487,585.555986531,412.266942814,401.746201852
5.458,428.369164724,441.303974904,585.639176698,412.34591782,401.835674573
5.46,428.438406686,441.133958255,585.722542149,412.425170303,401.925438625
5.462,428.507943194,440.96432154,585.806082885,412.504700263,402.015494009
5.464,428.577774249,440.795064759,585.889798904,412.584507702,402.105840724
5.466,428.64789985,440.626187913,585.973690207,412.664592618,402.196478771
5.468,428.718319998,440.457691001,586.057756794,412.744955011,402.287408149
5.47,428.789034692,440.289574023,586.141998665,412.825594882,402.378628858
5.472,428.860043932,440.121836979,586.226415821,412.906512231,402.470140899
5.474,428.931347719,439.954479869,586.31100826,412.987707057,402.561944271
5.476,429.002946053,439.787502693,586.395775982,413.069179361,402.654038975
5.478,429.074838933,439.620905452,586.480718989,413.150929143,402.74642501
5.48,429.147026359,439.454688144,586.56583728,413.232956402,402.839102376
5.482,429.219508332,439.288850771,586.651130855,413.315261138,402.932071074
5.484,429.292284852,439.123393332,586.736599714,413.397843352,403.025331103
